distance,current_time,weather,season,traffic,estimate_deliver_time
1.07,870,cloudy,fall,67,6
3.01,1347,cloudy,summer,93,26
3.36,801,sunny,winter,34,10
9.07,241,rainy,winter,72,61
2.2,418,rainy,fall,52,10
1.12,202,windy,fall,10,1
3.12,172,cloudy,summer,66,19
4.27,718,windy,fall,89,36
2.64,672,sunny,winter,56,13
3.59,1385,windy,winter,62,20
4.71,1012,sunny,fall,42,18
8.18,268,cloudy,fall,11,8
0.22,108,sunny,fall,28,0
6.6,178,sunny,summer,49,29
3.82,799,rainy,fall,48,17
3.14,382,rainy,fall,72,21
6.58,581,sunny,spring,81,48
7.63,618,cloudy,spring,44,31
2.29,907,sunny,spring,93,19
0.1,848,windy,summer,18,0
5.15,1022,sunny,summer,57,26
1.86,860,windy,summer,98,16
7.56,1160,sunny,spring,35,25
8.96,818,sunny,winter,92,74
4.97,14,windy,fall,53,24
6.89,744,rainy,summer,6,4
6.76,568,sunny,spring,9,5
0.25,1205,sunny,spring,71,1
1.81,400,windy,fall,27,4
8.21,884,cloudy,fall,86,66
3.39,374,windy,winter,75,23
0.7,318,sunny,summer,65,4
0.11,586,rainy,winter,65,0
1.25,580,sunny,summer,43,4
1.01,1386,windy,spring,23,2
9.71,1336,sunny,winter,70,61
1.45,975,rainy,winter,43,6
5.1,916,sunny,spring,12,5
6.49,1401,rainy,winter,47,28
1.58,837,windy,summer,85,12
6.22,273,windy,winter,49,27
4.9,1003,rainy,spring,39,18
0.83,196,rainy,summer,33,2
0.39,764,sunny,fall,13,0
4.51,1063,rainy,winter,93,42
3.36,69,windy,summer,15,4
7.16,170,rainy,spring,1,0
3.1,1025,sunny,spring,3,0
2.2,727,windy,fall,8,1
7.59,97,cloudy,winter,87,63
8.62,484,windy,spring,1,0
0.25,146,rainy,winter,51,1
3.39,1251,windy,summer,57,17
8.96,10,sunny,summer,80,64
5.05,1174,cloudy,spring,1,0
4.72,1077,rainy,winter,96,45
4.73,456,cloudy,spring,45,20
1.97,775,sunny,winter,46,8
0.81,978,windy,spring,45,3
5.68,52,rainy,summer,29,15
8.19,218,windy,winter,15,11
8.34,347,rainy,spring,93,73
2.97,290,cloudy,summer,14,4
2.01,1012,windy,winter,53,9
2.88,1283,windy,spring,83,21
3.04,348,windy,fall,100,27
4.11,620,rainy,winter,32,12
0.67,1372,windy,spring,18,1
7.65,1219,sunny,spring,78,54
2.51,261,cloudy,summer,88,21
0.9,653,sunny,summer,32,2
1.98,1096,windy,spring,29,5
3.01,1070,windy,fall,99,28
1.43,575,rainy,winter,66,9
5.82,9,windy,summer,15,7
0.88,627,rainy,winter,28,2
0.49,586,windy,fall,69,3
1.89,70,rainy,fall,83,15
3.82,712,windy,summer,36,13
7.08,731,cloudy,winter,18,12
1.53,1386,sunny,winter,62,8
6.95,25,rainy,fall,100,65
7.46,1180,sunny,winter,49,33
4.49,442,rainy,spring,44,18
6.75,933,rainy,summer,9,6
3.76,986,cloudy,summer,10,3
0.62,433,cloudy,summer,84,4
0.49,1089,windy,fall,84,4
3.95,1249,cloudy,spring,49,18
7.54,1105,rainy,winter,28,21
2.25,705,rainy,spring,70,15
8.15,375,cloudy,fall,61,46
0.9,1335,rainy,spring,1,0
9.26,68,sunny,summer,54,45
0.42,1150,cloudy,fall,40,1
5.77,723,windy,summer,65,36
2.85,1262,sunny,summer,65,16
3.24,500,cloudy,fall,5,1
7.68,6,cloudy,spring,51,37
3.56,1183,cloudy,summer,81,27
3.52,507,sunny,fall,3,1
3.04,730,windy,winter,73,21
2.49,466,rainy,winter,90,21
9.51,800,cloudy,winter,82,73
8.24,23,sunny,fall,7,5
8.5,1011,rainy,spring,43,34
8.66,623,rainy,winter,11,9
2.11,157,windy,summer,21,4
2.63,72,cloudy,fall,19,4
1.41,128,windy,summer,61,7
3.83,249,sunny,summer,4,1
1.12,568,cloudy,winter,98,10
8.92,1348,sunny,spring,67,54
6.07,191,windy,winter,59,32
2.82,201,windy,summer,66,16
0.77,729,sunny,fall,86,6
0.45,300,sunny,winter,37,1
0.32,898,cloudy,summer,15,0
8.75,135,sunny,winter,21,16
0.72,19,sunny,fall,14,1
4.86,742,sunny,summer,81,37
8.76,409,rainy,winter,83,69
5.93,1014,cloudy,spring,7,4
9.41,1322,windy,spring,66,56
7.08,1200,sunny,winter,83,53
6.53,1119,cloudy,fall,81,52
